From_Category,To_Category,Ratio_of_human_to_shortest
C0038,C0079,2.09
C0038,C0081,1.33
C0038,C0084,1.92
C0038,C0085,1.89
C0038,C0086,1.2
C0038,C0087,1.79
C0038,C0088,1.0
C0038,C0092,1.67
C0038,C0098,1.1
C0038,C0102,2.35
C0038,C0103,1.9
C0038,C0104,1.0
C0038,C0105,1.4
C0038,C0107,1.47
C0038,C0108,1.42
C0038,C0109,1.17
C0038,C0110,1.33
C0038,C0111,1.67
C0038,C0113,2.27
C0038,C0115,2.45
C0038,C0117,1.8
C0038,C0118,1.9
C0038,C0119,1.53
C0038,C0120,2.29
C0038,C0121,2.78
C0038,C0122,1.3
C0038,C0123,1.11
C0038,C0124,1.07
C0038,C0125,2.32
C0038,C0126,2.45
C0038,C0129,1.43
C0038,C0130,2.5
C0038,C0132,1.0
C0038,C0133,1.97
C0038,C0134,2.11
C0038,C0135,1.28
C0038,C0136,1.93
C0038,C0138,1.62
C0038,C0139,1.85
C0038,C0140,2.13
C0038,C0142,2.0
C0038,C0143,1.72
C0038,C0144,1.26
C0038,C0145,1.67
C0038,C0146,1.56
C0039,C0001,1.78
C0039,C0002,5.33
C0039,C0003,1.67
C0039,C0004,2.32
C0039,C0005,1.66
C0039,C0006,1.57
C0039,C0007,1.68
C0039,C0008,1.71
C0039,C0009,1.82
C0039,C0010,1.67
C0039,C0011,2.14
C0039,C0012,1.71
C0039,C0013,1.4
C0039,C0014,1.47
C0039,C0015,1.78
C0039,C0016,1.75
C0039,C0017,5.33
C0039,C0020,1.67
C0039,C0028,3.0
C0039,C0029,2.5
C0039,C0030,2.5
C0039,C0031,2.08
C0039,C0032,2.11
C0039,C0033,1.5
C0039,C0034,1.42
C0039,C0035,1.67
C0039,C0036,1.38
C0039,C0038,2.92
C0039,C0041,2.67
C0039,C0042,1.36
C0039,C0043,2.0
C0039,C0044,1.5
C0039,C0045,1.0
C0039,C0046,1.33
C0039,C0047,1.0
C0039,C0049,1.48
C0039,C0051,1.67
C0039,C0052,2.12
C0039,C0053,1.8
C0039,C0054,1.5
C0039,C0055,2.25
C0039,C0056,1.46
C0039,C0058,1.22
C0039,C0059,1.0
C0039,C0060,2.75
C0039,C0062,1.76
C0039,C0063,1.67
C0039,C0065,1.78
C0039,C0066,1.67
C0039,C0067,1.38
C0039,C0068,2.08
C0039,C0076,1.67
C0039,C0078,1.67
C0039,C0081,2.22
C0039,C0083,2.0
C0039,C0084,2.11
C0039,C0087,1.33
C0039,C0089,1.42
C0039,C0092,1.0
C0039,C0093,1.0
C0039,C0098,1.0
C0039,C0102,2.0
C0039,C0103,1.73
C0039,C0104,1.33
C0039,C0105,1.5
C0039,C0107,1.22
C0039,C0109,1.33
C0039,C0111,2.12
C0039,C0113,1.75
C0039,C0114,1.33
C0039,C0115,1.0
C0039,C0116,1.75
C0039,C0117,1.41
C0039,C0118,1.71
C0039,C0119,1.94
C0039,C0120,1.4
C0039,C0122,2.0
C0039,C0123,2.25
C0039,C0124,1.22
C0039,C0127,2.0
C0039,C0128,1.25
C0039,C0129,1.0
C0039,C0130,1.38
C0039,C0132,1.17
C0039,C0133,1.17
C0039,C0134,1.66
C0039,C0135,1.28
C0039,C0136,1.22
C0039,C0137,1.63
C0039,C0138,1.78
C0039,C0139,1.62
C0039,C0140,2.25
C0039,C0141,1.0
C0039,C0142,1.33
C0039,C0143,1.56
C0039,C0144,1.96
C0039,C0145,3.33
C0039,C0146,1.0
C0040,C0001,1.77
C0040,C0002,1.78
C0040,C0003,2.56
C0040,C0004,1.96
C0040,C0005,1.82
C0040,C0006,2.29
C0040,C0007,2.13
C0040,C0008,1.64
C0040,C0009,1.78
C0040,C0010,1.56
C0040,C0011,1.49
C0040,C0012,1.55
C0040,C0013,1.0
C0040,C0014,1.55
C0040,C0015,1.74
C0040,C0016,1.81
C0040,C0017,1.78
C0040,C0019,2.56
C0040,C0023,2.5
C0040,C0026,1.0
C0040,C0027,1.67
C0040,C0028,2.3
C0040,C0029,1.0
C0040,C0031,1.81
C0040,C0033,2.0
C0040,C0034,2.08
C0040,C0036,3.0
C0040,C0038,1.67
C0040,C0039,3.19
C0040,C0040,1.95
C0040,C0041,1.45
C0040,C0042,1.76
C0040,C0044,3.24
C0040,C0045,1.17
C0040,C0049,1.54
C0040,C0051,1.92
C0040,C0052,1.45
C0040,C0053,1.5
C0040,C0054,1.64
C0040,C0055,2.06
C0040,C0056,1.62
C0040,C0057,1.92
C0040,C0058,1.7
C0040,C0059,1.45
C0040,C0061,2.0
C0040,C0062,1.62
C0040,C0064,1.0
C0040,C0065,1.78
C0040,C0067,1.87
C0040,C0068,2.86
C0040,C0070,1.31
C0040,C0072,2.25
C0040,C0073,1.17
C0040,C0074,1.17
C0040,C0076,1.67
C0040,C0078,1.42
C0040,C0081,1.64
C0040,C0083,1.33
C0040,C0084,1.0
C0040,C0085,1.44
C0040,C0088,1.0
C0040,C0090,1.0
C0040,C0091,1.0
C0040,C0093,1.5
C0040,C0097,1.5
C0040,C0098,1.45
C0040,C0100,1.5
C0040,C0102,1.75
C0040,C0103,1.33
C0040,C0105,2.0
C0040,C0110,1.0
C0040,C0111,1.92
C0040,C0112,2.5
C0040,C0113,1.25
C0040,C0115,1.59
C0040,C0116,1.67
C0040,C0117,1.75
C0040,C0118,2.18
C0040,C0119,1.73
C0040,C0120,1.58
C0040,C0121,1.9
C0040,C0122,1.44
C0040,C0123,2.92
C0040,C0125,2.5
C0040,C0126,1.75
C0040,C0127,2.0
C0040,C0128,1.8
C0040,C0129,1.19
C0040,C0132,1.11
C0040,C0133,2.01
C0040,C0134,1.62
C0040,C0135,1.87
C0040,C0137,1.65
C0040,C0139,2.29
C0040,C0140,1.8
C0040,C0142,1.53
C0040,C0143,1.71
C0040,C0144,1.86
C0040,C0145,1.72
C0040,C0146,1.55
C0041,C0001,1.77
C0041,C0002,1.83
C0041,C0003,1.92
C0041,C0004,1.95
C0041,C0005,1.78
C0041,C0006,1.39
C0041,C0007,1.77
C0041,C0008,1.65
C0041,C0009,1.78
C0041,C0010,1.59
C0041,C0011,1.86
C0041,C0012,1.65
C0041,C0013,4.21
C0041,C0014,1.64
C0041,C0015,1.49
C0041,C0016,1.82
C0041,C0017,1.83
C0041,C0019,2.11
C0041,C0020,1.81
C0041,C0021,1.0
C0041,C0022,2.17
C0041,C0023,1.0
C0041,C0024,1.0
C0041,C0026,1.17
C0041,C0029,2.36
C0041,C0030,1.07
C0041,C0031,2.15
C0041,C0032,1.17
C0041,C0034,1.5
C0041,C0035,1.53
C0041,C0037,2.75
C0041,C0038,1.63
C0041,C0039,1.5
C0041,C0040,1.67
C0041,C0041,1.17
C0041,C0042,2.12
C0041,C0043,1.0
C0041,C0045,1.81
C0041,C0046,1.23
C0041,C0047,1.5
C0041,C0048,1.0
C0041,C0049,1.54
C0041,C0051,2.08
C0041,C0052,1.64
C0041,C0053,1.69
C0041,C0054,1.58
C0041,C0055,1.68
C0041,C0056,1.49
C0041,C0057,1.42
C0041,C0058,1.33
C0041,C0059,1.44
C0041,C0062,1.62
C0041,C0064,1.0
C0041,C0067,1.32
C0041,C0068,2.27
C0041,C0070,1.67
C0041,C0071,2.18
C0041,C0072,1.78
C0041,C0073,1.67
C0041,C0074,1.44
C0041,C0076,2.0
C0041,C0077,1.5
C0041,C0078,1.83
C0041,C0079,1.0
C0041,C0081,1.5
C0041,C0083,1.71
C0041,C0084,2.67
C0041,C0086,1.82
C0041,C0087,2.5
C0041,C0089,1.0
C0041,C0090,17.67
C0041,C0091,1.17
C0041,C0093,1.0
C0041,C0096,1.5
C0041,C0098,1.73
C0041,C0102,1.19
C0041,C0103,1.0
C0041,C0104,2.33
C0041,C0105,1.88
C0041,C0106,1.0
C0041,C0107,2.58
C0041,C0108,1.33
C0041,C0109,1.45
C0041,C0110,1.75
C0041,C0111,1.5
C0041,C0112,1.5
C0041,C0113,1.17
C0041,C0114,1.5
C0041,C0115,1.47
C0041,C0116,2.5
C0041,C0117,1.89
C0041,C0118,1.8
C0041,C0119,1.72
C0041,C0120,1.5
C0041,C0121,2.12
C0041,C0122,1.77
C0041,C0123,1.38
C0041,C0125,1.19
C0041,C0126,2.0
C0041,C0128,1.0
C0041,C0129,1.52
C0041,C0130,2.31
C0041,C0131,2.0
C0041,C0132,1.91
C0041,C0133,1.96
C0041,C0134,2.0
C0041,C0135,1.95
C0041,C0136,1.0
C0041,C0137,1.92
C0041,C0138,1.64
C0041,C0139,1.72
C0041,C0140,2.67
C0041,C0142,1.8
C0041,C0143,1.62
C0041,C0144,1.35
C0041,C0145,1.5
C0041,C0146,1.89
C0042,C0001,1.64
C0042,C0002,2.0
C0042,C0003,1.46
C0042,C0004,1.77
C0042,C0005,1.6
C0042,C0006,1.71
C0042,C0007,1.54
C0042,C0008,1.56
C0042,C0009,1.86
C0042,C0010,1.48
C0042,C0011,1.53
C0042,C0012,1.87
C0042,C0013,1.61
C0042,C0014,1.65
C0042,C0015,1.85
C0042,C0016,1.65
C0042,C0017,2.0
C0042,C0019,1.88
C0042,C0020,1.31
C0042,C0021,1.5
C0042,C0022,1.17
C0042,C0023,1.28
C0042,C0024,2.0
C0042,C0025,3.0
C0042,C0026,1.0
C0042,C0027,2.47
C0042,C0028,1.98
C0042,C0029,1.0
C0042,C0030,1.74
C0042,C0031,1.77
C0042,C0032,2.92
C0042,C0033,1.49
C0042,C0034,1.74
C0042,C0035,1.38
C0042,C0036,1.5
C0042,C0037,1.38
C0042,C0038,2.3
C0042,C0039,1.35
C0042,C0040,1.35
C0042,C0041,2.07
C0042,C0042,1.16
C0042,C0044,2.24
C0042,C0045,1.63
C0042,C0046,1.93
C0042,C0047,1.88
C0042,C0048,1.95
C0042,C0049,1.4
C0042,C0050,1.46
C0042,C0051,1.64
C0042,C0052,1.76
C0042,C0053,1.43
C0042,C0054,1.42
C0042,C0055,1.67
C0042,C0056,1.58
C0042,C0057,1.65
C0042,C0058,1.45
C0042,C0059,1.73
C0042,C0060,1.67
C0042,C0061,1.87
C0042,C0062,1.55
C0042,C0063,1.56
C0042,C0064,1.47
C0042,C0065,1.93
C0042,C0066,1.17
C0042,C0067,2.17
C0042,C0068,2.23
C0042,C0070,2.03
C0042,C0071,1.0
C0042,C0072,1.45
C0042,C0073,1.53
C0042,C0074,1.5
C0042,C0075,1.67
C0042,C0076,1.65
C0042,C0077,1.33
C0042,C0078,1.29
C0042,C0079,1.35
C0042,C0080,1.0
C0042,C0081,1.6
C0042,C0082,1.33
C0042,C0083,1.87
C0042,C0084,1.32
C0042,C0085,1.5
C0042,C0086,1.42
C0042,C0087,1.7
C0042,C0088,1.19
C0042,C0089,1.42
C0042,C0090,2.33
C0042,C0091,1.0
C0042,C0092,1.64
C0042,C0093,1.85
C0042,C0094,1.98
C0042,C0096,2.08
C0042,C0097,1.33
C0042,C0098,1.29
C0042,C0099,1.83
C0042,C0100,1.44
C0042,C0101,1.25
C0042,C0102,1.5
C0042,C0103,1.52
C0042,C0104,1.79
C0042,C0105,1.58
C0042,C0106,1.88
C0042,C0107,1.87
C0042,C0108,1.53
C0042,C0109,1.35
C0042,C0110,1.73
C0042,C0111,1.87
C0042,C0112,1.42
C0042,C0113,2.77
C0042,C0114,1.47
C0042,C0115,1.4
C0042,C0116,1.79
C0042,C0117,1.64
C0042,C0118,1.72
C0042,C0119,1.6
C0042,C0120,1.37
C0042,C0121,1.68
C0042,C0122,1.51
C0042,C0123,1.76
C0042,C0124,1.42
C0042,C0125,2.0
C0042,C0126,2.71
C0042,C0127,1.0
C0042,C0128,1.82
C0042,C0129,1.69
C0042,C0130,2.13
C0042,C0131,1.0
C0042,C0132,1.65
C0042,C0133,1.67
C0042,C0134,1.63
C0042,C0135,1.66
C0042,C0136,1.35
C0042,C0137,1.4
C0042,C0138,1.62
C0042,C0139,1.62
C0042,C0140,1.91
C0042,C0141,2.58
C0042,C0142,1.38
C0042,C0143,1.65
C0042,C0144,1.62
C0042,C0145,1.59
C0042,C0146,1.49
C0043,C0001,1.79
C0043,C0002,1.38
C0043,C0003,1.67
C0043,C0004,2.32
C0043,C0005,1.53
C0043,C0006,1.57
C0043,C0007,1.94
C0043,C0008,1.56
C0043,C0009,2.07
C0043,C0010,1.58
C0043,C0011,1.33
C0043,C0012,1.0
C0043,C0013,1.0
C0043,C0014,2.45
C0043,C0015,2.3
C0043,C0016,2.0
C0043,C0017,1.38
C0043,C0019,2.0
C0043,C0020,2.0
C0043,C0021,1.0
C0043,C0026,2.79
C0043,C0028,4.0
C0043,C0031,1.57
C0043,C0032,1.0
C0043,C0033,1.67
C0043,C0034,1.67
C0043,C0035,1.67
C0043,C0038,1.83
C0043,C0040,2.33
C0043,C0041,1.5
C0043,C0042,2.75
C0043,C0043,1.67
C0043,C0045,1.17
C0043,C0049,1.75
C0043,C0050,1.5
C0043,C0051,1.57
C0043,C0052,1.17
C0043,C0053,1.5
C0043,C0054,1.33
C0043,C0055,1.67
C0043,C0056,1.69
C0043,C0057,1.33
C0043,C0058,1.67
C0043,C0059,1.67
C0043,C0062,1.47
C0043,C0064,1.48
C0043,C0066,1.33
C0043,C0067,2.68
C0043,C0068,1.77
C0043,C0070,1.55
C0043,C0072,1.67
C0043,C0075,2.0
C0043,C0076,1.33
C0043,C0078,1.0
C0043,C0079,2.0
C0043,C0082,1.17
C0043,C0084,1.67
C0043,C0088,1.0
C0043,C0089,1.0
C0043,C0092,1.33
C0043,C0098,2.67
C0043,C0102,2.75
C0043,C0107,1.88
C0043,C0108,1.0
C0043,C0111,2.0
C0043,C0113,2.77
C0043,C0114,1.67
C0043,C0115,1.5
C0043,C0117,2.09
C0043,C0118,1.8
C0043,C0119,1.97
C0043,C0120,1.0
C0043,C0121,1.55
C0043,C0122,1.59
C0043,C0123,1.6
C0043,C0124,1.7
C0043,C0126,3.72
C0043,C0127,1.33
C0043,C0128,1.25
C0043,C0129,1.0
C0043,C0131,2.38
C0043,C0132,2.3
C0043,C0133,2.5
C0043,C0134,1.68
C0043,C0135,2.42
C0043,C0137,1.7
C0043,C0138,1.67
C0043,C0139,1.83
C0043,C0141,1.67
C0043,C0142,1.5
C0043,C0143,1.67
C0043,C0144,2.0
C0043,C0145,2.1
C0044,C0001,1.7
C0044,C0002,1.0
C0044,C0003,1.33
C0044,C0004,1.44
C0044,C0005,1.49
C0044,C0006,1.0
C0044,C0007,2.32
C0044,C0008,1.55
C0044,C0009,1.53
C0044,C0010,1.42
C0044,C0011,2.2
C0044,C0014,1.48
C0044,C0015,1.5
C0044,C0016,1.8
C0044,C0017,1.0
C0044,C0020,1.67
C0044,C0022,1.0
C0044,C0023,2.0
C0044,C0026,1.0
C0044,C0028,1.55
C0044,C0031,1.36
C0044,C0033,1.0
C0044,C0039,3.75
C0044,C0040,1.5
C0044,C0041,2.67
C0044,C0042,2.0
C0044,C0045,1.5
C0044,C0049,1.56
C0044,C0050,1.5
C0044,C0051,1.33
C0044,C0052,1.86
C0044,C0053,1.81
C0044,C0054,1.5
C0044,C0055,1.36
C0044,C0056,1.63
C0044,C0057,1.0
C0044,C0058,1.5
C0044,C0059,1.58
C0044,C0061,1.46
C0044,C0062,1.0
C0044,C0064,1.25
C0044,C0065,1.38
C0044,C0067,1.17
C0044,C0068,1.0
C0044,C0070,1.33
C0044,C0071,2.25
C0044,C0072,1.33
C0044,C0073,1.33
C0044,C0074,1.53
C0044,C0078,1.42
C0044,C0081,2.06
C0044,C0083,2.94
C0044,C0084,1.5
C0044,C0085,4.25
C0044,C0086,1.0
C0044,C0093,1.0
C0044,C0097,3.0
C0044,C0098,1.44
C0044,C0099,1.33
C0044,C0101,1.33
C0044,C0102,1.33
C0044,C0104,1.0
C0044,C0105,1.27
C0044,C0107,1.42
C0044,C0109,1.33
C0044,C0111,1.67
C0044,C0112,1.0
C0044,C0115,1.5
C0044,C0116,1.67
C0044,C0117,1.74
C0044,C0118,1.83
C0044,C0119,1.95
C0044,C0120,1.53
C0044,C0121,1.42
C0044,C0122,1.7
C0044,C0123,1.25
C0044,C0124,1.0
C0044,C0125,1.0
C0044,C0126,1.33
C0044,C0129,2.33
C0044,C0130,1.64
C0044,C0132,1.37
C0044,C0133,1.5
C0044,C0134,1.76
C0044,C0135,1.67
C0044,C0137,1.87
C0044,C0138,2.33
C0044,C0139,1.82
C0044,C0140,1.75
C0044,C0144,2.08
C0044,C0145,1.67
C0044,C0146,1.93
C0045,C0001,1.7
C0045,C0002,2.5
C0045,C0003,1.51
C0045,C0004,1.63
C0045,C0005,1.56
C0045,C0006,1.62
C0045,C0007,1.79
C0045,C0008,1.55
C0045,C0009,1.62
C0045,C0010,1.42
C0045,C0011,1.49
C0045,C0013,2.23
C0045,C0014,1.63
C0045,C0015,1.84
C0045,C0016,2.01
C0045,C0017,2.5
C0045,C0020,1.45
C0045,C0022,1.58
C0045,C0026,1.5
C0045,C0029,2.5
C0045,C0031,1.6
C0045,C0032,1.0
C0045,C0033,1.0
C0045,C0034,2.13
C0045,C0036,1.19
C0045,C0037,3.33
C0045,C0038,1.56
C0045,C0039,2.67
C0045,C0040,2.83
C0045,C0041,1.82
C0045,C0042,2.03
C0045,C0044,1.0
C0045,C0045,1.27
C0045,C0046,1.25
C0045,C0047,1.17
C0045,C0048,1.67
C0045,C0049,1.48
C0045,C0051,1.82
C0045,C0052,1.73
C0045,C0053,1.68
C0045,C0054,1.22
C0045,C0055,1.64
C0045,C0056,1.55
C0045,C0057,1.25
C0045,C0058,1.26
C0045,C0059,1.65
C0045,C0061,1.47
C0045,C0062,1.28
C0045,C0063,2.17
C0045,C0065,1.33
C0045,C0067,1.67
C0045,C0068,1.33
C0045,C0070,1.8
C0045,C0071,1.8
C0045,C0072,1.5
C0045,C0073,1.0
C0045,C0074,1.11
C0045,C0076,1.0
C0045,C0078,1.25
C0045,C0079,1.66
C0045,C0080,1.5
C0045,C0081,1.0
C0045,C0083,1.92
C0045,C0084,1.0
C0045,C0085,1.25
C0045,C0087,1.88
C0045,C0088,1.33
C0045,C0089,1.11
C0045,C0090,9.0
C0045,C0091,1.33
C0045,C0092,1.28
C0045,C0093,1.33
C0045,C0095,2.0
C0045,C0097,1.0
C0045,C0098,1.86
C0045,C0100,1.67
C0045,C0102,1.67
C0045,C0103,1.19
C0045,C0104,1.44
C0045,C0105,1.45
C0045,C0107,1.88
C0045,C0108,2.67
C0045,C0109,1.61
C0045,C0110,1.25
C0045,C0111,2.33
C0045,C0112,1.67
C0045,C0114,1.42
C0045,C0115,1.25
C0045,C0117,2.11
C0045,C0118,1.81
C0045,C0119,1.93
C0045,C0120,1.51
C0045,C0121,1.85
C0045,C0122,1.4
C0045,C0123,1.76
C0045,C0124,1.17
C0045,C0125,3.0
C0045,C0126,1.67
C0045,C0128,1.0
C0045,C0129,1.6
C0045,C0130,1.65
C0045,C0132,2.45
C0045,C0133,2.56
C0045,C0134,2.04
C0045,C0135,2.26
C0045,C0136,1.33
C0045,C0137,1.92
C0045,C0138,2.13
C0045,C0139,1.57
C0045,C0140,2.0
C0045,C0141,1.22
C0045,C0142,1.92
C0045,C0143,1.6
C0045,C0144,2.12
C0045,C0145,1.75
C0045,C0146,1.89
C0046,C0001,1.82
C0046,C0003,1.73
C0046,C0004,2.04
C0046,C0005,1.6
C0046,C0006,1.74
C0046,C0007,2.27
C0046,C0008,1.72
C0046,C0009,1.63
C0046,C0010,2.25
C0046,C0011,1.43
C0046,C0012,1.25
C0046,C0013,1.0
C0046,C0014,1.36
C0046,C0015,1.25
C0046,C0016,2.08
C0046,C0019,2.5
C0046,C0021,1.22
C0046,C0025,1.5
C0046,C0027,2.5
C0046,C0028,1.5
C0046,C0030,2.75
C0046,C0031,1.74
C0046,C0032,1.42
C0046,C0034,1.93
C0046,C0038,1.25
C0046,C0041,3.0
C0046,C0042,2.87
C0046,C0044,2.67
C0046,C0045,1.0
C0046,C0047,1.0
C0046,C0048,2.03
C0046,C0049,1.67
C0046,C0051,1.9
C0046,C0053,1.83
C0046,C0054,2.5
C0046,C0055,1.54
C0046,C0056,1.67
C0046,C0057,1.0
C0046,C0058,1.5
C0046,C0059,1.42
C0046,C0060,1.0
C0046,C0062,1.55
C0046,C0065,1.0
C0046,C0067,1.64
C0046,C0068,1.17
C0046,C0070,5.0
C0046,C0073,1.25
C0046,C0079,2.25
C0046,C0081,1.28
C0046,C0083,2.0
C0046,C0085,1.67
C0046,C0089,1.0
C0046,C0090,1.0
C0046,C0092,1.75
C0046,C0096,2.0
C0046,C0098,1.0
C0046,C0101,1.5
C0046,C0102,1.5
C0046,C0103,1.22
C0046,C0104,1.33
C0046,C0105,1.56
C0046,C0108,1.46
C0046,C0109,1.33
C0046,C0110,1.0
C0046,C0115,1.25
C0046,C0117,2.2
C0046,C0118,2.09
C0046,C0119,1.77
C0046,C0120,1.53
C0046,C0121,1.83
C0046,C0122,1.89
C0046,C0123,1.54
C0046,C0124,1.25
C0046,C0125,1.5
C0046,C0126,1.67
C0046,C0128,1.67
C0046,C0129,2.3
C0046,C0130,2.27
C0046,C0131,1.12
C0046,C0132,2.1
C0046,C0133,2.7
C0046,C0134,1.38
C0046,C0135,1.72
C0046,C0137,2.53
C0046,C0138,2.17
C0046,C0139,2.03
C0046,C0140,2.2
C0046,C0142,2.13
C0046,C0143,1.4
C0046,C0144,1.95
C0046,C0145,1.17
C0046,C0146,1.57
C0047,C0001,1.69
C0047,C0003,2.0
C0047,C0004,1.42
C0047,C0005,1.83
C0047,C0006,2.06
C0047,C0007,1.7
C0047,C0008,1.78
C0047,C0009,1.71
C0047,C0010,1.17
C0047,C0011,2.7
C0047,C0012,1.06
C0047,C0013,1.5
C0047,C0014,1.82
C0047,C0015,1.28
C0047,C0016,1.7
C0047,C0022,2.0
C0047,C0026,1.0
C0047,C0030,1.67
C0047,C0031,1.17
C0047,C0033,1.0
C0047,C0034,2.0
C0047,C0035,2.0
C0047,C0036,3.33
C0047,C0038,1.0
C0047,C0041,1.0
C0047,C0042,2.31
C0047,C0045,1.0
C0047,C0047,1.0
C0047,C0049,1.86
C0047,C0051,2.11
C0047,C0052,1.83
C0047,C0053,1.42
C0047,C0054,1.0
C0047,C0055,1.64
C0047,C0056,1.28
C0047,C0058,2.46
C0047,C0059,1.83
C0047,C0060,1.33
C0047,C0061,3.5
C0047,C0062,1.5
C0047,C0063,1.25
C0047,C0065,1.67
C0047,C0066,1.75
C0047,C0067,2.78
C0047,C0068,1.42
C0047,C0070,1.67
C0047,C0074,1.0
C0047,C0078,1.1
C0047,C0079,1.5
C0047,C0082,2.7
C0047,C0089,1.5
C0047,C0092,2.0
C0047,C0098,1.12
C0047,C0102,2.67
C0047,C0103,2.0
C0047,C0105,1.78
C0047,C0107,1.75
C0047,C0108,1.33
C0047,C0112,1.33
C0047,C0115,1.25
C0047,C0117,1.73
C0047,C0118,1.72
C0047,C0119,1.61
C0047,C0120,2.75
C0047,C0121,2.11
C0047,C0122,1.33
C0047,C0123,1.0
C0047,C0124,1.33
C0047,C0126,2.67
C0047,C0128,3.0
C0047,C0129,1.48
C0047,C0131,1.17
C0047,C0132,1.38
C0047,C0133,1.5
C0047,C0134,1.94
C0047,C0137,2.83
C0047,C0139,1.33
C0047,C0140,2.0
C0047,C0142,1.25
C0047,C0143,2.0
C0047,C0144,1.25
C0047,C0145,2.67
C0048,C0001,1.61
C0048,C0002,1.28
C0048,C0003,1.13
C0048,C0004,1.46
C0048,C0005,1.85
C0048,C0006,1.62
C0048,C0007,1.46
C0048,C0008,1.64
C0048,C0009,1.75
C0048,C0010,1.7
C0048,C0011,1.61
C0048,C0013,1.8
C0048,C0014,1.52
C0048,C0015,1.48
C0048,C0016,1.68
C0048,C0017,1.28
C0048,C0019,1.11
C0048,C0021,1.33
C0048,C0022,1.17
C0048,C0026,1.5
C0048,C0027,1.33
C0048,C0030,1.0
C0048,C0031,1.67
C0048,C0032,2.0
C0048,C0033,1.5
C0048,C0034,1.0
C0048,C0035,2.0
C0048,C0037,1.33
C0048,C0038,1.12
C0048,C0039,1.83
C0048,C0040,1.55
C0048,C0041,1.0
C0048,C0042,1.73
C0048,C0043,1.25
C0048,C0044,1.0
C0048,C0045,2.0
C0048,C0046,1.23
C0048,C0048,1.0
C0048,C0049,1.96
C0048,C0050,1.0
C0048,C0051,1.69
C0048,C0052,1.57
C0048,C0053,1.54
C0048,C0054,1.7
C0048,C0055,1.84
C0048,C0056,1.21
C0048,C0057,2.33
C0048,C0058,1.43
C0048,C0059,1.11
C0048,C0061,1.5
C0048,C0062,1.3
C0048,C0064,1.25
C0048,C0065,1.92
C0048,C0066,2.0
C0048,C0067,1.52
C0048,C0068,1.98
C0048,C0070,1.0
C0048,C0073,1.9
C0048,C0074,1.33
C0048,C0075,2.5
C0048,C0076,1.0
C0048,C0078,1.25
C0048,C0080,1.25
C0048,C0081,1.8
C0048,C0084,1.0
C0048,C0087,1.75
C0048,C0088,1.67
C0048,C0089,2.22
C0048,C0090,1.33
C0048,C0092,1.33
C0048,C0093,1.42
C0048,C0094,1.0
C0048,C0096,1.78
C0048,C0097,1.84
C0048,C0098,1.75
C0048,C0100,2.33
C0048,C0101,1.0
C0048,C0102,1.81
C0048,C0104,1.54
C0048,C0105,1.44
C0048,C0107,1.33
C0048,C0108,1.67
C0048,C0109,1.26
C0048,C0110,1.0
C0048,C0111,1.0
C0048,C0113,1.67
C0048,C0114,1.22
C0048,C0115,1.5
C0048,C0116,2.0
C0048,C0117,1.8
C0048,C0118,1.44
C0048,C0119,1.63
C0048,C0120,2.58
C0048,C0121,1.75
C0048,C0122,1.42
C0048,C0123,2.06
C0048,C0124,1.0
C0048,C0125,3.0
C0048,C0126,1.0
C0048,C0127,1.33
C0048,C0128,1.17
C0048,C0129,1.93
C0048,C0130,2.25
C0048,C0131,1.17
C0048,C0132,1.8
C0048,C0133,1.5
C0048,C0134,1.77
C0048,C0135,1.92
C0048,C0137,1.56
C0048,C0138,1.45
C0048,C0139,1.49
C0048,C0140,1.17
C0048,C0143,1.79
C0048,C0144,1.56
C0048,C0145,1.38
C0048,C0146,2.0
C0049,C0001,1.75
C0049,C0002,1.79
C0049,C0003,2.16
C0049,C0004,1.71
C0049,C0005,1.81
C0049,C0006,1.97
C0049,C0007,1.93
C0049,C0008,1.66
C0049,C0009,1.81
C0049,C0010,2.09
C0049,C0011,1.59
C0049,C0012,1.79
C0049,C0013,1.9
C0049,C0014,1.71
C0049,C0015,1.9
C0049,C0016,1.76
C0049,C0017,1.79
C0049,C0019,2.43
C0049,C0020,1.71
C0049,C0021,1.44
C0049,C0022,3.07
C0049,C0023,1.0
C0049,C0024,1.0
C0049,C0025,1.0
C0049,C0026,1.25
C0049,C0027,2.0
C0049,C0028,1.27
C0049,C0029,1.83
C0049,C0030,2.3
C0049,C0031,1.85
C0049,C0032,1.5
C0049,C0033,1.72
C0049,C0034,2.31
C0049,C0035,1.4
C0049,C0036,1.0
C0049,C0037,1.4
C0049,C0038,1.47
C0049,C0039,2.1
C0049,C0040,2.43
C0049,C0041,1.83
C0049,C0042,1.76
C0049,C0044,2.17
C0049,C0045,1.96
C0049,C0046,1.56
C0049,C0048,5.0
C0049,C0049,1.58
C0049,C0050,1.83
C0049,C0051,1.88
C0049,C0052,1.43
C0049,C0053,1.63
C0049,C0054,1.37
C0049,C0055,1.66
C0049,C0056,1.67
C0049,C0057,2.21
C0049,C0058,1.77
C0049,C0059,1.55
C0049,C0060,1.25
C0049,C0061,1.44
C0049,C0062,1.73
C0049,C0063,2.0
C0049,C0064,1.28
C0049,C0065,1.68
C0049,C0067,2.14
C0049,C0068,1.46
C0049,C0069,1.67
C0049,C0070,1.4
C0049,C0071,2.3
C0049,C0072,1.6
C0049,C0073,1.87
C0049,C0074,1.54
C0049,C0075,2.0
